date,impfstoff,impfstofftyp,region,dosen,einrichtung,geo,Hersteller,KW,wochentag,Jahr,Monat,JahrKW
2020-12-30,comirnaty,wildtyp,DE-HB,4875,impfzentren,Bremen,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-HH,14625,impfzentren,Hamburg,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-HE,48750,impfzentren,Hessen,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-MV,14625,impfzentren,Mecklenburg-Vorpommern,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-NI,58500,impfzentren,Niedersachsen,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-NW,140400,impfzentren,Nordrhein-Westfalen,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-RP,34125,impfzentren,Rheinland-Pfalz,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-SL,9750,impfzentren,Saarland,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-SN,34125,impfzentren,Sachsen,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-ST,19500,impfzentren,Sachsen-Anhalt,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-SH,24375,impfzentren,Schleswig-Holstein,BNT/Pfizer,53,3,2020,12,202053
2020-12-30,comirnaty,wildtyp,DE-TH,19500,impfzentren,Thüringen,BNT/Pfizer,53,3,2020,12,202053
2021-01-08,comirnaty,wildtyp,DE-BW,92625,impfzentren,Baden-Württemberg,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-BY,112125,impfzentren,Bayern,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-BE,29250,impfzentren,Berlin,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-BB,19500,impfzentren,Brandenburg,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-HB,4875,impfzentren,Bremen,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-HH,14625,impfzentren,Hamburg,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-HE,48750,impfzentren,Hessen,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-MV,14625,impfzentren,Mecklenburg-Vorpommern,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-NI,63375,impfzentren,Niedersachsen,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-NW,146250,impfzentren,Nordrhein-Westfalen,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-RP,34125,impfzentren,Rheinland-Pfalz,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-SL,9750,impfzentren,Saarland,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-SN,34125,impfzentren,Sachsen,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-ST,19500,impfzentren,Sachsen-Anhalt,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-SH,24375,impfzentren,Schleswig-Holstein,BNT/Pfizer,2,5,2021,1,202102
2021-01-08,comirnaty,wildtyp,DE-TH,19500,impfzentren,Thüringen,BNT/Pfizer,2,5,2021,1,202102
2021-01-12,moderna,wildtyp,DE-BW,8400,impfzentren,Baden-Württemberg,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-BY,9600,impfzentren,Bayern,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-BE,2400,impfzentren,Berlin,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-BB,2400,impfzentren,Brandenburg,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-HB,1200,impfzentren,Bremen,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-HH,1200,impfzentren,Hamburg,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-HE,4800,impfzentren,Hessen,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-MV,1200,impfzentren,Mecklenburg-Vorpommern,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-NI,6000,impfzentren,Niedersachsen,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-NW,13200,impfzentren,Nordrhein-Westfalen,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-RP,3600,impfzentren,Rheinland-Pfalz,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-SL,1200,impfzentren,Saarland,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-SN,3600,impfzentren,Sachsen,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-ST,1200,impfzentren,Sachsen-Anhalt,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-SH,2400,impfzentren,Schleswig-Holstein,Moderna,2,2,2021,1,202102
2021-01-12,moderna,wildtyp,DE-TH,1200,impfzentren,Thüringen,Moderna,2,2,2021,1,202102
2021-01-19,comirnaty,wildtyp,DE-BW,111150,impfzentren,Baden-Württemberg,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-BY,132210,impfzentren,Bayern,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-BE,35100,impfzentren,Berlin,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-BB,23400,impfzentren,Brandenburg,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-HB,9360,impfzentren,Bremen,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-HH,17550,impfzentren,Hamburg,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-HE,63180,impfzentren,Hessen,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-MV,17550,impfzentren,Mecklenburg-Vorpommern,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-NI,81900,impfzentren,Niedersachsen,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-NW,181350,impfzentren,Nordrhein-Westfalen,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-RP,40950,impfzentren,Rheinland-Pfalz,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-SL,11700,impfzentren,Saarland,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-SN,40950,impfzentren,Sachsen,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-ST,23400,impfzentren,Sachsen-Anhalt,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-SH,29250,impfzentren,Schleswig-Holstein,BNT/Pfizer,3,2,2021,1,202103
2021-01-19,comirnaty,wildtyp,DE-TH,23400,impfzentren,Thüringen,BNT/Pfizer,3,2,2021,1,202103
2021-01-26,comirnaty,wildtyp,DE-BW,64350,impfzentren,Baden-Württemberg,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-BY,70200,impfzentren,Bayern,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-BE,23400,impfzentren,Berlin,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-BB,17550,impfzentren,Brandenburg,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-HB,5850,impfzentren,Bremen,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-HH,11700,impfzentren,Hamburg,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-HE,35100,impfzentren,Hessen,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-MV,11700,impfzentren,Mecklenburg-Vorpommern,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-NI,46800,impfzentren,Niedersachsen,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-NW,99450,impfzentren,Nordrhein-Westfalen,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-RP,32760,impfzentren,Rheinland-Pfalz,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-SL,5850,impfzentren,Saarland,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-SN,23400,impfzentren,Sachsen,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-ST,11700,impfzentren,Sachsen-Anhalt,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-SH,17550,impfzentren,Schleswig-Holstein,BNT/Pfizer,4,2,2021,1,202104
2021-01-26,comirnaty,wildtyp,DE-TH,11700,impfzentren,Thüringen,BNT/Pfizer,4,2,2021,1,202104
2021-01-31,moderna,wildtyp,DE-BW,12000,impfzentren,Baden-Württemberg,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-BY,14400,impfzentren,Bayern,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-BE,3600,impfzentren,Berlin,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-BB,2400,impfzentren,Brandenburg,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-HB,1200,impfzentren,Bremen,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-HH,2400,impfzentren,Hamburg,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-HE,7200,impfzentren,Hessen,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-MV,1200,impfzentren,Mecklenburg-Vorpommern,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-NI,8400,impfzentren,Niedersachsen,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-NW,18000,impfzentren,Nordrhein-Westfalen,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-RP,4800,impfzentren,Rheinland-Pfalz,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-SL,1200,impfzentren,Saarland,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-SN,4800,impfzentren,Sachsen,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-ST,2400,impfzentren,Sachsen-Anhalt,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-SH,3600,impfzentren,Schleswig-Holstein,Moderna,5,7,2021,1,202105
2021-01-31,moderna,wildtyp,DE-TH,2400,impfzentren,Thüringen,Moderna,5,7,2021,1,202105
2021-02-02,comirnaty,wildtyp,DE-BW,105300,impfzentren,Baden-Württemberg,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-BY,117000,impfzentren,Bayern,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-BE,35100,impfzentren,Berlin,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-BB,23400,impfzentren,Brandenburg,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-HB,7020,impfzentren,Bremen,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-HH,17550,impfzentren,Hamburg,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-HE,58500,impfzentren,Hessen,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-MV,11700,impfzentren,Mecklenburg-Vorpommern,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-NI,70200,impfzentren,Niedersachsen,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-NW,163800,impfzentren,Nordrhein-Westfalen,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-RP,38610,impfzentren,Rheinland-Pfalz,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-SL,5850,impfzentren,Saarland,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-SN,35100,impfzentren,Sachsen,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-ST,17550,impfzentren,Sachsen-Anhalt,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-SH,23400,impfzentren,Schleswig-Holstein,BNT/Pfizer,5,2,2021,2,202105
2021-02-02,comirnaty,wildtyp,DE-TH,17550,impfzentren,Thüringen,BNT/Pfizer,5,2,2021,2,202105
2021-02-06,astra,wildtyp,DE-BW,48000,impfzentren,Baden-Württemberg,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-BY,52800,impfzentren,Bayern,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-BE,14400,impfzentren,Berlin,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-BB,9600,impfzentren,Brandenburg,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-HB,2400,impfzentren,Bremen,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-HH,7200,impfzentren,Hamburg,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-HE,26400,impfzentren,Hessen,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-MV,7200,impfzentren,Mecklenburg-Vorpommern,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-NI,33600,impfzentren,Niedersachsen,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-NW,74400,impfzentren,Nordrhein-Westfalen,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-RP,16800,impfzentren,Rheinland-Pfalz,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-SL,4800,impfzentren,Saarland,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-SN,16800,impfzentren,Sachsen,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-ST,9600,impfzentren,Sachsen-Anhalt,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-SH,12000,impfzentren,Schleswig-Holstein,AZ,6,6,2021,2,202106
2021-02-06,astra,wildtyp,DE-TH,9600,impfzentren,Thüringen,AZ,6,6,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-BW,99450,impfzentren,Baden-Württemberg,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-BY,117000,impfzentren,Bayern,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-BE,35100,impfzentren,Berlin,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-BB,25740,impfzentren,Brandenburg,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-HB,5850,impfzentren,Bremen,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-HH,17550,impfzentren,Hamburg,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-HE,58500,impfzentren,Hessen,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-MV,11700,impfzentren,Mecklenburg-Vorpommern,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-NI,76050,impfzentren,Niedersachsen,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-NW,163800,impfzentren,Nordrhein-Westfalen,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-RP,37440,impfzentren,Rheinland-Pfalz,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-SL,5850,impfzentren,Saarland,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-SN,35100,impfzentren,Sachsen,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-ST,17550,impfzentren,Sachsen-Anhalt,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-SH,23400,impfzentren,Schleswig-Holstein,BNT/Pfizer,6,2,2021,2,202106
2021-02-09,comirnaty,wildtyp,DE-TH,17550,impfzentren,Thüringen,BNT/Pfizer,6,2,2021,2,202106
2021-02-12,astra,wildtyp,DE-BW,52800,impfzentren,Baden-Württemberg,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-BY,60000,impfzentren,Bayern,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-BE,16800,impfzentren,Berlin,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-BB,12000,impfzentren,Brandenburg,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-HB,2400,impfzentren,Bremen,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-HH,9600,impfzentren,Hamburg,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-HE,31200,impfzentren,Hessen,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-MV,7200,impfzentren,Mecklenburg-Vorpommern,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-NI,38400,impfzentren,Niedersachsen,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-NW,84000,impfzentren,Nordrhein-Westfalen,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-RP,19200,impfzentren,Rheinland-Pfalz,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-SL,4800,impfzentren,Saarland,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-SN,19200,impfzentren,Sachsen,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-ST,9600,impfzentren,Sachsen-Anhalt,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-SH,14400,impfzentren,Schleswig-Holstein,AZ,7,5,2021,2,202107
2021-02-12,astra,wildtyp,DE-TH,9600,impfzentren,Thüringen,AZ,7,5,2021,2,202107
2021-02-15,moderna,wildtyp,DE-BW,24000,impfzentren,Baden-Württemberg,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-BY,28800,impfzentren,Bayern,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-BE,8400,impfzentren,Berlin,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-BB,6000,impfzentren,Brandenburg,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-HB,1200,impfzentren,Bremen,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-HH,3600,impfzentren,Hamburg,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-HE,14400,impfzentren,Hessen,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-MV,3600,impfzentren,Mecklenburg-Vorpommern,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-NI,18000,impfzentren,Niedersachsen,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-NW,39600,impfzentren,Nordrhein-Westfalen,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-RP,8400,impfzentren,Rheinland-Pfalz,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-SL,2400,impfzentren,Saarland,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-SN,8400,impfzentren,Sachsen,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-ST,4800,impfzentren,Sachsen-Anhalt,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-SH,6000,impfzentren,Schleswig-Holstein,Moderna,7,1,2021,2,202107
2021-02-15,moderna,wildtyp,DE-TH,4800,impfzentren,Thüringen,Moderna,7,1,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-BW,122850,impfzentren,Baden-Württemberg,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-BY,146250,impfzentren,Bayern,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-BE,40950,impfzentren,Berlin,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-BB,26910,impfzentren,Brandenburg,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-HB,5850,impfzentren,Bremen,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-HH,17550,impfzentren,Hamburg,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-HE,70200,impfzentren,Hessen,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-MV,17550,impfzentren,Mecklenburg-Vorpommern,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-NI,87750,impfzentren,Niedersachsen,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-NW,198900,impfzentren,Nordrhein-Westfalen,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-RP,40950,impfzentren,Rheinland-Pfalz,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-SL,11700,impfzentren,Saarland,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-SN,40950,impfzentren,Sachsen,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-ST,23400,impfzentren,Sachsen-Anhalt,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-SH,29250,impfzentren,Schleswig-Holstein,BNT/Pfizer,7,2,2021,2,202107
2021-02-16,comirnaty,wildtyp,DE-TH,23400,impfzentren,Thüringen,BNT/Pfizer,7,2,2021,2,202107
2021-02-19,astra,wildtyp,DE-BW,91200,impfzentren,Baden-Württemberg,AZ,8,5,2021,2,202108
2021-02-19,astra,wildtyp,DE-BY,108000,impfzentren,Bayern,AZ,8,5,2021,2,202108
