krs17;krs17name;fl17;bev17;bevM17;bevF17;kbez;kbez;ksitz;kslk;kslkname;kreg17;kreg17name;st_kreg ;st_kreg_name ;kslk_kreg;kslk_kreg_name;ktyp4;ktyp4_name;slraum;slraum_name;raumt2010lage_kreis;raumt2010lage_kreis_name;ROR11;ROR11name;rtyp3;rtyp3name;AAG;AAGname;IAB_Typ;IAB_Typ_name;amr16;amr16name;foerd1420;amr_styp3;RBZ;RBZname;NUTS2;NUTS2name;grenzreg_v1;grenzreg_v2;metropolen_IKM_2015_a;metropolen_IKM_2015_b;land;land_name;kv;kv_name;WO;WO_name
1058;Rendsburg-Eckernförde;2189,26;273022;134407;138615;43;Kreis;Rendsburg;2;Landkreis;1058000;Rendsburg-Eckernförde/Neumünster;1;zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;3;peripher;101;Schleswig-Holstein Mitte;2;Region mit Verstädterungsansätzen;139;AA Neumünster;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;6;Kiel;D;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;9;1;;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1059;Schleswig-Flensburg;2071,13;199503;98846;100657;43;Kreis;Schleswig;2;Landkreis;1059000;Schleswig-Flensburg/Flensburg;1;zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;102;Schleswig-Holstein Nord;3;Ländliche Region;119;AA Flensburg;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;4;Flensburg;C;3;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;1;1;;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1060;Segeberg;1344,4;274025;135470;138555;43;Kreis;Bad Segeberg;2;Landkreis;1060000;Segeberg;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;104;Schleswig-Holstein Süd;2;Region mit Verstädterungsansätzen;115;AA Elmshorn;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;8;Hamburg;N;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;0;0;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1061;Steinburg;1055,7;131613;65054;66559;43;Kreis;Itzehoe;2;Landkreis;1061000;Steinburg;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;2;zentral;105;Schleswig-Holstein Süd-West;3;Ländliche Region;127;AA Heide;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;3;Itzehoe;C/D;3;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;0;0;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
1062;Stormarn;766,32;242472;118568;123904;43;Kreis;Bad Oldesloe;2;Landkreis;1062000;Stormarn;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;1;sehr zentral;104;Schleswig-Holstein Süd;2;Region mit Verstädterungsansätzen;111;AA Bad Oldesloe;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;8;Hamburg;N;1;10;Schleswig-Holstein;DEF0;Schleswig-Holstein;0;0;Metropolregion Hamburg;;1;Schleswig-Holstein;1;Schleswig-Holstein;1;Westdeutschland
2000;Hamburg, Stadt;755,3;1830584;897207;933377;41;Kreisfreie Stadt;Hamburg;1;Kreisfreie Stadt;2000000;Hamburg, Stadt;0;nicht zugehörig zu Kreisregion;1;Kreisfreie Stadt;1;kreisfreie Großstadt;1;Städtischer Raum;1;sehr zentral;201;Hamburg;1;Städtische Region;123;AA Hamburg;2;IIa-Großstädtische Bezirke mit erhöhter Arbeitslosigkeit;8;Hamburg;N;1;20;Hamburg;DE60;Hamburg;0;0;Metropolregion Hamburg;;2;Hamburg;2;Hamburg;1;Westdeutschland
3101;Braunschweig, Stadt;192,7;248023;122721;125302;41;Kreisfreie Stadt;Braunschweig;1;Kreisfreie Stadt;3101000;Braunschweig, Stadt;0;nicht zugehörig zu Kreisregion;1;Kreisfreie Stadt;1;kreisfreie Großstadt;1;Städtischer Raum;1;sehr zentral;301;Braunschweig;2;Region mit Verstädterungsansätzen;211;AA Braunschweig - Goslar;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;9;Braunschweig;N;1;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3102;Salzgitter, Stadt;224,49;104548;51990;52558;41;Kreisfreie Stadt;Salzgitter;1;Kreisfreie Stadt;3102000;Salzgitter, Stadt;0;nicht zugehörig zu Kreisregion;1;Kreisfreie Stadt;1;kreisfreie Großstadt;1;Städtischer Raum;2;zentral;301;Braunschweig;2;Region mit Verstädterungsansätzen;211;AA Braunschweig - Goslar;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;10;Salzgitter;N;1;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3103;Wolfsburg, Stadt;204,61;123914;61559;62355;41;Kreisfreie Stadt;Wolfsburg;1;Kreisfreie Stadt;3103000;Wolfsburg, Stadt;0;nicht zugehörig zu Kreisregion;1;Kreisfreie Stadt;1;kreisfreie Großstadt;1;Städtischer Raum;2;zentral;301;Braunschweig;2;Region mit Verstädterungsansätzen;241;AA Helmstedt;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;11;Wolfsburg;N;1;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3151;Gifhorn;1567,58;175079;87743;87336;44;Landkreis;Gifhorn;2;Landkreis;3151000;Gifhorn;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;301;Braunschweig;2;Region mit Verstädterungsansätzen;241;AA Helmstedt;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;11;Wolfsburg;N;1;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3153;Goslar;966,74;137563;68022;69541;44;Landkreis;Goslar;2;Landkreis;3153000;Goslar;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;3;peripher;301;Braunschweig;2;Region mit Verstädterungsansätzen;211;AA Braunschweig - Goslar;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;13;Goslar;C;2;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3154;Helmstedt;676,11;91720;45467;46253;44;Landkreis;Helmstedt;2;Landkreis;3154000;Helmstedt;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;301;Braunschweig;2;Region mit Verstädterungsansätzen;241;AA Helmstedt;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;14;Helmstedt;C;2;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3155;Northeim;1268,76;133046;65497;67549;44;Landkreis;Northeim;2;Landkreis;3155000;Northeim;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;305;Göttingen;2;Region mit Verstädterungsansätzen;231;AA Göttingen;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;15;Einbeck;D;3;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3157;Peine;536,5;133368;65947;67421;44;Landkreis;Peine;2;Landkreis;3157000;Peine;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;2;zentral;301;Braunschweig;2;Region mit Verstädterungsansätzen;244;AA Hildesheim;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;9;Braunschweig;N;1;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3158;Wolfenbüttel;724,29;120437;59569;60868;44;Landkreis;Wolfenbüttel;2;Landkreis;3158000;Wolfenbüttel;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;301;Braunschweig;2;Region mit Verstädterungsansätzen;211;AA Braunschweig - Goslar;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;9;Braunschweig;N;1;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3159;Göttingen;1755,53;328036;161209;166827;44;Landkreis;Göttingen;2;Landkreis;3159000;Göttingen;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;2;zentral;305;Göttingen;2;Region mit Verstädterungsansätzen;231;AA Göttingen;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;12;Göttingen/Osterode;C/D;1;30;Niedersachsen;DE91;Braunschweig;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3241;Region Hannover;2297,13;1152675;563810;588865;44;Landkreis;Hannover;2;Landkreis;3241000;Region Hannover;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;1;sehr zentral;307;Hannover;1;Städtische Region;237;AA Hannover;2;IIa-Großstädtische Bezirke mit erhöhter Arbeitslosigkeit;17;Hannover;N;1;30;Niedersachsen;DE92;Hannover;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3251;Diepholz;1990,97;216012;107287;108725;44;Landkreis;Diepholz;2;Landkreis;3251000;Diepholz/Delmenhorst;1;zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;302;Bremen-Umland;2;Region mit Verstädterungsansätzen;277;AA Nienburg - Verden;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;18;Sulingen;N;3;30;Niedersachsen;DE92;Hannover;0;0;;Metropolregion Bremen/Oldenburg im Nordwesten;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3252;Hameln-Pyrmont;797,53;148296;71625;76671;44;Landkreis;Hameln;2;Landkreis;3252000;Hameln-Pyrmont;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;308;Hildesheim;2;Region mit Verstädterungsansätzen;234;AA Hameln;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;19;Hameln;D;2;30;Niedersachsen;DE92;Hannover;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3254;Hildesheim;1208,35;276640;134841;141799;44;Landkreis;Hildesheim;2;Landkreis;3254000;Hildesheim;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;2;zentral;308;Hildesheim;2;Region mit Verstädterungsansätzen;244;AA Hildesheim;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;20;Hildesheim;D;1;30;Niedersachsen;DE92;Hannover;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3255;Holzminden;694,24;71144;35219;35925;44;Landkreis;Holzminden;2;Landkreis;3255000;Holzminden;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;305;Göttingen;2;Region mit Verstädterungsansätzen;234;AA Hameln;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;21;Holzminden;C;3;30;Niedersachsen;DE92;Hannover;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3256;Nienburg (Weser);1400,79;121470;60379;61091;44;Landkreis;Nienburg/Weser;2;Landkreis;3256000;Nienburg (Weser);0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;307;Hannover;1;Städtische Region;277;AA Nienburg - Verden;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;22;Nienburg;D;3;30;Niedersachsen;DE92;Hannover;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3257;Schaumburg;675,69;157883;77206;80677;44;Landkreis;Stadthagen;2;Landkreis;3257000;Schaumburg;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;2;zentral;307;Hannover;1;Städtische Region;234;AA Hameln;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;23;Stadthagen;C;1;30;Niedersachsen;DE92;Hannover;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3351;Celle;1550,82;178764;87877;90887;44;Landkreis;Celle;2;Landkreis;3351000;Celle;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;313;Südheide;3;Ländliche Region;221;AA Celle;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;24;Celle;D;3;30;Niedersachsen;DE93;Lüneburg;0;0;;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3352;Cuxhaven;2058,97;198100;97085;101015;44;Landkreis;Cuxhaven;2;Landkreis;3352000;Cuxhaven;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;303;Bremerhaven;2;Region mit Verstädterungsansätzen;267;AA Stade;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;43;Bremerhaven;C;2;30;Niedersachsen;DE93;Lüneburg;0;0;Metropolregion Hamburg;Metropolregion Bremen/Oldenburg im Nordwesten;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3353;Harburg;1248,57;251511;123912;127599;44;Landkreis;Winsen/Luhe;2;Landkreis;3353000;Harburg;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;2;zentral;306;Hamburg-Umland-Süd;3;Ländliche Region;251;AA Lüneburg - Uelzen;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;8;Hamburg;N;1;30;Niedersachsen;DE93;Lüneburg;0;0;Metropolregion Hamburg;;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3354;Lüchow-Dannenberg;1227,28;48357;23750;24607;44;Landkreis;Lüchow, Wendland;2;Landkreis;3354000;Lüchow-Dannenberg;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;4;sehr peripher;309;Lüneburg;3;Ländliche Region;251;AA Lüneburg - Uelzen;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;29;Uelzen;C;3;30;Niedersachsen;DE93;Lüneburg;0;0;Metropolregion Hamburg;;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3355;Lüneburg;1327,68;182930;89412;93518;44;Landkreis;Lüneburg;2;Landkreis;3355000;Lüneburg;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;2;zentral;309;Lüneburg;3;Ländliche Region;251;AA Lüneburg - Uelzen;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;25;Lüneburg;D;3;30;Niedersachsen;DE93;Lüneburg;0;0;Metropolregion Hamburg;;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3356;Osterholz;652,67;113105;55621;57484;44;Landkreis;Osterholz-Scharmbeck;2;Landkreis;3356000;Osterholz;0;nicht zugehörig zu Kreisregion;2;Landkreis;2;Städtischer Kreis;1;Städtischer Raum;2;zentral;302;Bremen-Umland;2;Region mit Verstädterungsansätzen;214;AA Bremen - Bremerhaven;3;IIb-Großstädtische Bezirke mit sehr hoher Arbeitslosigkeit;42;Bremen;D;1;30;Niedersachsen;DE93;Lüneburg;0;0;;Metropolregion Bremen/Oldenburg im Nordwesten;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3357;Rotenburg (Wümme);2074,79;163377;82180;81197;44;Landkreis;Rotenburg/Wümme;2;Landkreis;3357000;Rotenburg (Wümme);0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;306;Hamburg-Umland-Süd;3;Ländliche Region;267;AA Stade;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;26;Zeven;N;3;30;Niedersachsen;DE93;Lüneburg;0;0;Metropolregion Hamburg;;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3358;Heidekreis;1881,4;139099;69426;69673;44;Landkreis;Bad Fallingbostel;2;Landkreis;3358000;Heidekreis;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;313;Südheide;3;Ländliche Region;221;AA Celle;5;IIIb-Verdichtete Bezirke mit leicht überdurchschnittlicher Arbeitslosigkeit;27;Soltau;C;3;30;Niedersachsen;DE93;Lüneburg;0;0;Metropolregion Hamburg;Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3359;Stade;1267,4;201887;100430;101457;44;Landkreis;Stade;2;Landkreis;3359000;Stade;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;3;peripher;306;Hamburg-Umland-Süd;3;Ländliche Region;267;AA Stade;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;28;Stade;N;2;30;Niedersachsen;DE93;Lüneburg;0;0;Metropolregion Hamburg;;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3360;Uelzen;1462,61;92744;45361;47383;44;Landkreis;Uelzen;2;Landkreis;3360000;Uelzen;0;nicht zugehörig zu Kreisregion;2;Landkreis;4;Dünn besiedelter ländlicher Kreis;2;Ländlicher Raum;3;peripher;309;Lüneburg;3;Ländliche Region;251;AA Lüneburg - Uelzen;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;29;Uelzen;C;3;30;Niedersachsen;DE93;Lüneburg;0;0;Metropolregion Hamburg;;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
3361;Verden;789,4;136590;67173;69417;44;Landkreis;Verden/Aller;2;Landkreis;3361000;Verden;0;nicht zugehörig zu Kreisregion;2;Landkreis;3;Ländlicher Kreis mit Verdichtungsansätzen;2;Ländlicher Raum;2;zentral;302;Bremen-Umland;2;Region mit Verstädterungsansätzen;277;AA Nienburg - Verden;4;IIIa-Verdichtete Bezirke mit leicht unterdurchschnittlicher Arbeitslosigkeit;30;Verden;N;2;30;Niedersachsen;DE93;Lüneburg;0;0;;Metropolregion Bremen/Oldenburg im Nordwesten;3;Niedersachsen;17;Niedersachsen;1;Westdeutschland
